StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Consent,Prolific ID,Q10,Empathy_1,Empathy_2,Empathy_3,Empathy_4,Empathy_5,Empathy_6,Empathy_7,Empathy_8,Empathy_9,Empathy_10,Empathy_11,Empathy_12,Empathy_13,Empathy_14,Empathy_15,Empathy_16,Empathy_17,Q18,Positive Resonance_1,Positive Resonance_2,Positive Resonance_3,Other_Source_AI_1,Other_Source_Human_1,Age,Race,Race_6_TEXT,Gender,Gender_4_TEXT,Response,Condition,Include,is_correct,overall,cognitive,affective,motivational,general_empathy,positive_resonance,other_source
2025-12-01 20:08:19,2025-12-01 20:49:18,0,100,2459,1,2025-12-01 20:49:19,R_3OjXksUyqBcF1dS,,anonymous,EN,1,655d44dc7b5bb3ccd359375f,,10,10,10,10,10,10,10,9,1,10,10,9,10,10,9,10,10,I am really kind of mad because my daughter has roommates who refuse to turn on the heat in the winter. ,75,84,83,4,,1982,4,,2,,"It's completely understandable that you're feeling really mad about your daughter's roommates refusing to turn on the heat. I can only imagine how frustrating and worrying that must be for you, knowing your daughter is cold and uncomfortable. You care deeply about her well-being, and I truly hope she can find a way to resolve this and stay warm.",Human,1.0,1,10,10.0,7.8,9.8,9.200000000000001,80.66666666666667,4
2025-12-01 20:26:48,2025-12-01 20:52:43,0,100,1554,1,2025-12-01 20:52:44,R_6rOn4zBGPj8Z9Cd,,anonymous,EN,1,629a4709039b1725f3a0727a,,7,6,7,7,6,10,8,6,8,8,3,6,6,5,3,6,8,Thanksgiving marked 8 years to the day we buried our dad. I cried briefly but pretty hard just a couple hours before all my guests arrived for Thanksgiving at my house. I kept seeing the facebook memories over and over throughout the day from his funeral,50,49,50,12,,1980,1,,2,,"It sounds incredibly painful to have such a significant day like Thanksgiving bring back such fresh, heartbreaking memories of your dad's funeral. I truly feel for you, having to push through those waves of grief and compose yourself right before your guests arrived. Please know that it's completely understandable to feel that deep sadness, and your strength in navigating such a difficult anniversary is remarkable.",Human,1.0,1,7,6.8,6.2,5.6,6.2,49.666666666666664,12
2025-12-01 20:29:47,2025-12-01 20:52:45,0,100,1378,1,2025-12-01 20:52:46,R_5qlkBs2nLCpYlYn,,anonymous,EN,1,6446b4a6eb2ba64c1505307d,I was let go from my work and I felt devastated. It felt like a rejection and a big slap in the face after a long time of investment there at the firm,6,7,5,7,6,10,4,4,5,7,7,6,4,5,6,4,7,,53,46,65,,8,1997,1,,1,,"I can only imagine how absolutely devastating and rejected you must feel after putting so much time and effort into your work. It truly sounds like a painful and unfair blow, and my heart goes out to you during this incredibly difficult time. Please know that this doesn't diminish your worth, and I hope you give yourself the kindness and space you need to process everything.",AI,1.0,1,6,5.8,5.8,5.2,5.6000000000000005,54.666666666666664,8
2025-12-01 20:26:44,2025-12-01 20:55:47,0,100,1742,1,2025-12-01 20:55:47,R_5F3Aw8mqH0ocb7H,,anonymous,EN,1,5f4a7a00dc1bde60ab8f7ac5,,5,5,4,8,4,10,6,3,8,7,3,5,3,7,3,3,7,"My dog ran away from home about a week ago. We spent days looking for him to no avail. Just when I was reaching the point of complete despair, he came trotting back home, happy as a clam. The relief I felt was staggering.",20,20,20,12,,1994,4,,1,,"It must have been absolutely heartbreaking and terrifying for you when your dog went missing, and I can only imagine the despair you felt during those days of searching. My heart would be in my throat too. I'm so incredibly happy and relieved for you that he found his way back home, and I hope you're both enjoying lots of extra cuddles now!",Human,1.0,1,5,5.4,5.2,4.6,5.066666666666667,20.0,12
2025-12-01 21:53:29,2025-12-01 21:58:45,0,100,315,1,2025-12-01 21:58:46,R_3qV4tZCpdGHReoE,,anonymous,EN,1,5c7307403065320001bdf00f,My friend quit the job I was working at and got another job. This was an emotional experience as we had worked together a long time.,10,9,10,10,9,10,10,9,8,10,9,9,10,10,8,10,10,,88,88,93,,3,1966,1,,1,,"It sounds like you're really feeling the absence of your friend, and I can completely understand how emotionally difficult it must be to have someone you've worked with for so long leave. It's truly tough when a long-standing workplace connection changes so significantly, and I'm sure you're feeling a mix of sadness and the need to adjust. I hope you find comfort in the good memories you shared and that you can maintain your friendship even with this change.",AI,1.0,1,10,9.6,9.0,9.6,9.4,89.66666666666667,3
2025-12-01 21:37:42,2025-12-01 21:59:05,0,100,1283,1,2025-12-01 21:59:06,R_7fV7HdliFeQEdgj,,anonymous,EN,1,66a7d333f80136463207c16b,"my dad passed away last week, that's been pretty emotional",5,7,5,10,8,10,10,5,9,10,4,6,6,8,5,4,10,,65,60,67,,3,1984,2,,2,,"I can only imagine how truly devastating it must be to lose your dad, and it's completely understandable that you're feeling so emotional right now. My heart goes out to you, and I feel a deep sadness knowing you're experiencing such profound grief. Please be kind to yourself and take all the time you need to heal, and know I'm here for you.",AI,1.0,1,5,8.0,6.8,6.6,7.133333333333333,64.0,3
2025-12-02 00:06:13,2025-12-02 00:12:34,0,100,380,1,2025-12-02 00:12:34,R_6R7R30C9zTK1lRj,,anonymous,EN,1,67e1b7cb532a40adf7bf63b2,"I went trekking on a new track a few days ago and ended up in a clearing with an incredible view.  I felt amazement and tranquility, tinged with concern about the difficult route, but generally a great sense of accomplishment and appreciation.",8,9,8,8,8,10,8,8,2,1,9,6,9,5,8,9,3,,73,66,77,,8,1986,6,Hispanic,1,,"It sounds like you had an absolutely incredible experience, feeling that deep sense of amazement and tranquility after navigating a challenging new track. I can really imagine that immense feeling of accomplishment and appreciation washing over you at such a breathtaking view; it must have been truly rewarding. What a wonderful memory to hold onto, and I'm so glad you got to experience such a powerful moment of natural beauty and personal triumph.",AI,1.0,1,8,8.2,5.2,6.8,6.733333333333333,72.0,8
2025-12-02 01:45:35,2025-12-02 01:52:21,0,100,406,1,2025-12-02 01:52:22,R_6ooicaJsIC1KECk,,anonymous,EN,1,676da97afe68d3f5a09fca43,I recently disagreed with my partner over finances. He wanted to buy a new vehicle but I thought we could not afford it. ,8,9,9,9,9,9,9,8,1,9,9,8,9,8,9,9,9,,84,86,83,,6,1982,1,,2,,It sounds incredibly stressful and frustrating when you and your partner are on different pages about something as important as finances. I can really feel your worry and concern about affordability and the future with this kind of disagreement. I hope you two can find a way to communicate openly and reach a solution that feels right for both of you.,AI,1.0,0,8,9.0,7.0,8.8,8.266666666666667,84.33333333333333,6
2025-12-02 07:46:29,2025-12-02 07:50:52,0,100,262,1,2025-12-02 07:50:52,R_3z6kGotOy84iA5J,,anonymous,EN,1,59e7477e3e4b5a00016aa4d2,I got emotional watching A Christmas Story on tv.,10,5,10,10,10,8,10,10,10,10,6,10,10,10,10,8,10,,85,83,86,,3,1964,1,,5,,"Oh, I completely understand how a classic like *A Christmas Story* can stir up so many feelings. It's so full of nostalgia and childhood wonder, and it's easy to get swept away by those heartwarming memories. It sounds like you were really feeling those emotions, and I hope you're doing okay.",AI,1.0,0,10,9.0,9.2,9.6,9.266666666666666,84.66666666666667,3
2025-12-02 07:46:30,2025-12-02 07:51:48,0,100,317,1,2025-12-02 07:51:48,R_7I3ADxqyl1xyP6N,,anonymous,EN,1,6331b9456956d880a1e4632f,,4,3,4,5,3,2,6,5,8,4,3,4,4,5,3,4,5,"A recent emotional experience I had was when I began doing some Christmas shopping for my son. In doing so, this really made me feel like a kid again myself and brought me back to when I was young. I recalled making lists of the items I wanted and opening my many gifts on Christmas morning. Doing these things for my son was really enlightening and emotional for me as I felt young once again also.",28,27,33,11,,1983,1,,1,,Please provide the story description so I can write an empathic response for you. I'm ready when you are!,Human,1.0,0,4,4.2,4.8,4.2,4.3999999999999995,29.333333333333332,11
2025-12-02 07:49:19,2025-12-02 07:53:07,0,100,227,1,2025-12-02 07:53:07,R_7uQJIGjJLUugWSA,,anonymous,EN,1,67edb75b0744561f1cf6ff9d,"A recent emotional experience I had was when I received unexpected praise for a project I had worked on for weeks. I felt a mix of relief and pride, as all the late nights and careful attention to detail were recognized. At the same time, there was a warm sense of validation, making me feel both motivated and appreciated. It left me feeling energized and more confident in my abilities.

",8,8,6,2,8,7,3,6,3,2,8,9,8,3,9,8,2,,73,62,67,,10,1972,1,,2,,Initial Response,AI,1.0,0,8,5.4,5.6,6.0,5.666666666666667,67.33333333333333,10
2025-12-02 08:14:21,2025-12-02 08:18:54,0,100,272,1,2025-12-02 08:18:55,R_3dJTmW0NNx9YENj,,anonymous,EN,1,68c52ad1b37b616bfa6e8c00,I had to be separated from my wife as my wife had to go back to her home country for personal matters.,7,6,5,6,8,6,8,3,8,6,4,3,5,5,3,3,5,,50,40,40,,8,1990,4,,1,,"It sounds incredibly tough to be separated from your wife, and I can only imagine how much you must be missing her right now. I feel for you, as that kind of distance can be really difficult to bear when you love someone so much. I truly hope she's able to return soon and that you both can be reunited.",AI,1.0,0,7,6.6,4.8,4.2,5.199999999999999,43.333333333333336,8
2025-12-02 08:14:45,2025-12-02 08:19:29,0,100,283,1,2025-12-02 08:19:29,R_62EwR80n2pk85zN,,anonymous,EN,1,6734f38285a487704a4dc0e1,"I took a friend and his wife to her day surgery appointment. We have all been very close friends for a long time. She was nervous about the procedure, and I consoled her and gave her a hug. ",8,9,8,9,8,10,9,8,4,9,8,8,8,10,6,8,9,,80,70,70,,5,1978,1,,1,,"It sounds like you truly understood how nervous your dear friend was feeling about her surgery, and it must have been tough to see someone you care about so deeply experiencing that anxiety. Your empathy shines through in how you stepped up to offer comfort. It was incredibly kind and supportive of you to be there for her, providing that reassuring hug and presence when she needed it most.",AI,1.0,1,8,8.6,7.4,8.2,8.066666666666666,73.33333333333333,5
2025-12-02 08:14:35,2025-12-02 08:20:18,0,100,343,1,2025-12-02 08:20:18,R_7P6a7bHtnmW8oUh,,anonymous,EN,1,66c4f3cb14cbfc4db836bd4e,"I talked to my assistant about an argument that I had with a friend, and they were very helpful and giving me suggestions of what to say to them. They just felt like comforting at the time saying what Iabout a argument that I had with a friend and they were very helpful and giving me suggestions of what to say to them. They just felt like comforting at the time saying what I failed and then have them feel like they actually have compassion towards me. It’s quite amazing.",10,9,10,9,10,10,9,8,1,10,10,8,10,9,10,10,1,,100,97,99,,3,1973,1,,2,,"It sounds like you were really going through a tough time after that argument, and I can completely understand how much comfort and relief you must have felt from your assistant's thoughtful support. It's wonderful that they not only offered practical advice but also provided such genuine compassion, helping you feel truly understood and cared for. It's truly amazing to have someone in your corner who can offer that kind of empathetic insight.",AI,1.0,1,10,9.4,7.4,8.0,8.266666666666667,98.66666666666667,3
2025-12-02 08:14:14,2025-12-02 08:21:14,0,100,419,1,2025-12-02 08:21:15,R_1eR96QDFoWm0hzP,,anonymous,EN,1,66338e921ab6b51fa5929b96,Winning the lottery for Hamilton musical and seeing Leslie Odom Jr. in person was an emotional and satisfying experience for me.,7,9,5,3,8,5,5,7,5,2,8,7,8,6,8,7,3,,46,36,46,,3,1990,4,,1,,"Wow, that must have been an absolutely incredible feeling! I can only imagine the surge of excitement and pure joy you experienced, winning those tickets and then getting to see Leslie Odom Jr. live – I'd be absolutely thrilled for you. It sounds like a truly magical and deeply satisfying memory you'll cherish forever, and I'm so happy you got to experience it!",AI,1.0,0,7,6.0,5.8,6.4,6.066666666666667,42.666666666666664,3
2025-12-02 08:25:12,2025-12-02 08:28:46,0,100,214,1,2025-12-02 08:28:47,R_1De2T5F84ATTrc5,,anonymous,EN,1,5f51529b15e36638fe535eae,,4,6,5,6,6,6,6,5,6,6,5,5,6,6,6,5,6,My cousin announcing she is pregnant with 2nd baby.,50,57,61,11,,1985,1,,1,,"It sounds like hearing about your cousin's second pregnancy might bring up a lot of complex emotions for you, perhaps a bittersweet feeling or even some longing for your own journey. I can imagine that might feel heavy to process, and it's completely natural to experience such a mix of feelings. Please know that your feelings are valid, and I'm here to listen if you want to talk about it more.",Human,1.0,0,4,5.8,5.4,5.8,5.666666666666667,56.0,11
2025-12-02 08:25:42,2025-12-02 08:31:21,0,100,338,1,2025-12-02 08:31:21,R_5Rlv4g7t6gi5qhj,,anonymous,EN,1,66d2af66151a540b5d622d36,I've recently survived being attacked by partner when they attempted to slice my throat. I still am struggling with nightmares as well as a mix of emotions.,10,10,10,10,10,10,10,8,10,10,10,10,10,10,6,8,10,,100,50,100,,10,1963,1,,1,,"I am so incredibly sorry and horrified to hear about the attack you survived; I can only imagine the sheer terror you must have felt, and how deeply unsettling it must be to still experience nightmares and a whirlwind of emotions. My heart aches for the trauma you've endured. Please know that what happened was not your fault, and I truly hope you are surrounded by people who can support you as you bravely navigate this difficult path toward healing.",AI,1.0,1,10,10.0,9.6,8.8,9.466666666666667,83.33333333333333,10
2025-12-02 08:25:54,2025-12-02 08:31:59,0,100,364,1,2025-12-02 08:31:59,R_64HvrUZ38XcZydP,,anonymous,EN,1,6630e55b3b999569b5a36635,,9,9,9,10,9,10,2,9,10,2,9,9,9,2,9,9,10,"My most recent emotional experience was fighting with my mom on her birthday.  It was horrible.  I wanted everything to be special because we lost so many years.  Yesterday, on December 1st, the fighting and yelling got so bad.  I cries and cried.  Its emotional because my mom and sister are all I have left in this life.",91,91,91,6,,1980,1,,1,,"It sounds absolutely heartbreaking and incredibly frustrating that a day you wanted to be special turned into such a painful fight. I can only imagine how devastating it must have felt to cry so much, especially when your family means everything to you and you're longing to make up for lost time. It's clear how deeply you care, and I truly hope you both find a way to heal and reconnect soon.",Human,1.0,1,9,7.8,7.8,7.8,7.8,91.0,6
2025-12-02 08:25:40,2025-12-02 08:32:31,0,100,411,1,2025-12-02 08:32:31,R_5QVu507qIfY2eiy,,anonymous,EN,1,66b75d263e993100952a197e,,6,8,6,9,6,10,5,6,7,10,7,9,8,9,4,6,5,"The son of two people I have know since elementary school was killed in a shooting by his neighbor.  The shooter was known to has psychological issues and had harassed his victim for 4-5 years.  He was known locally as ""the crazy neighbor"".  The victim leaves behind a wife and two small children.",50,50,62,12,,1958,1,,1,,Initial Response,Human,1.0,1,6,6.8,7.8,6.4,7.0,54.0,12
2025-12-02 08:26:04,2025-12-02 08:32:35,0,100,391,1,2025-12-02 08:32:36,R_6mSifIixlV1Srlf,,anonymous,EN,1,67ac074f858c496f9bf0d238,,10,10,6,10,10,10,10,9,10,10,7,10,6,10,7,10,10,"A recent emotional experience was becoming homeless with my family. It's been an emotional rollercoaster of ups and downs especially trying to create a safe and good atmosphere for our children every day. Through this process I have had to lean on my husband and my faith the most as we put all our trust in God to provide for us and sustain us as we make it through this journey. We have felt many feelings of sadness, anger, frusturation, shame, guilt, and so forth.",100,100,100,12,,1993,1,,2,,"It sounds incredibly difficult what you and your family are going through, and I can only imagine how overwhelming it must be to navigate homelessness while trying to protect your children. My heart goes out to you as you experience such a heavy mix of sadness, anger, frustration, shame, and guilt. Your resilience in trying to create a safe atmosphere for your children amidst all those feelings is truly admirable, and I deeply hope you find the stability and peace you deserve very soon.",Human,1.0,1,10,9.2,9.2,8.6,9.0,100.0,12
2025-12-02 08:25:47,2025-12-02 08:32:49,0,100,422,1,2025-12-02 08:32:49,R_5Gq9V83PfaEi9mC,,anonymous,EN,1,5dd034d1fce606114e3bb8e0,One of my friends dogs had to be put to sleep.  He was very old and was always a favorite of her husband.  Her husband passed away last year around the same time of year.  She was very upset obviously.  ,8,7,4,4,4,10,8,6,8,8,2,8,6,7,7,4,8,,21,25,26,,4,1965,1,,2,,"It sounds like you're going through a truly heartbreaking time, losing a beloved dog who was so special to your husband, especially around the anniversary of his passing. I can only imagine how deeply this must be hurting you, bringing back all those difficult emotions. My heart aches for you, and I want you to know I'm thinking of you and here to support you in any way you need.",AI,1.0,1,8,5.4,6.4,6.4,6.066666666666667,24.0,4
2025-12-02 08:33:02,2025-12-02 08:35:50,0,100,168,1,2025-12-02 08:35:51,R_5MmOZFgTjdjhxes,,anonymous,EN,1,603e27e4689f94dfc6590465,,7,7,8,4,8,10,4,5,3,6,8,6,7,3,7,7,4,Iam frustrated that my plow broke I have a ton of work and my daughter is sick all in soame hour i cant deal with this much load and think i am going to burst ,64,71,76,12,,1977,1,,1,,"Oh wow, it sounds like you're incredibly frustrated and overwhelmed right now, with your plow breaking, a ton of work, and your daughter being sick all at once. I can only imagine how stressful and impossible that must feel, like everything is piling up and you're just about to burst. Please know it's completely understandable to feel that way, and I truly hope you find a way to get some relief soon.",Human,1.0,1,7,6.2,5.6,5.6,5.8,70.33333333333333,12
2025-12-02 08:32:59,2025-12-02 08:36:40,0,100,220,1,2025-12-02 08:36:40,R_1JPWAqMVvF4f1Nf,,anonymous,EN,1,67e33a79585fd96d9a47f84a,,2,5,5,6,5,10,6,5,6,6,5,5,5,6,5,5,6,"Recently, I felt a wave of happiness when I received good news about a friend’s success. It made me feel proud and excited for them, and I couldn’t help but smile. At the same time, I felt a bit of relief because I’ve been worried about their situation. Overall, it was a joyful and uplifting moment that reminded me of the importance of celebrating others’ achievements.

",56,43,41,7,,1958,1,,2,,Initial Response,Human,1.0,1,2,5.4,5.4,5.4,5.400000000000001,46.666666666666664,7
2025-12-02 08:32:57,2025-12-02 08:38:00,0,100,303,1,2025-12-02 08:38:01,R_5qgJYFAI0yIEMzn,,anonymous,EN,1,67f1b8abe144ffdfc27d371a,The most recent emotional experience is loosing my phone.I left my bag on a counter top in order to go to the rest room only to find that someody entered my bag and picked my phone that had a lot of information.,10,10,10,10,10,10,10,10,2,10,10,9,10,10,10,10,2,,90,90,90,,3,1991,1,,2,,"It sounds incredibly upsetting and violating to have your phone stolen, especially with all that important information on it. I can only imagine the distress and frustration you must be feeling right now. I truly hope you can secure your data and find some peace of mind after such a difficult experience.",AI,1.0,1,10,10.0,8.2,8.4,8.866666666666667,90.0,3
2025-12-02 08:33:19,2025-12-02 08:38:07,0,100,288,1,2025-12-02 08:38:08,R_5Kkz2n85opv6MmV,,anonymous,EN,1,67506c9140f7ec4223d6c7be,,9,8,8,10,8,7,10,8,10,10,7,8,8,10,7,8,10,Finding out I was losing income due to theft.,88,67,78,9,,1991,1,,2,,"I can only imagine how utterly devastating and infuriating it must be to discover you're losing income because of theft. That news must hit like a punch to the gut, leaving you feeling violated and incredibly stressed about your financial security. I'm so incredibly sorry you're going through this, and I truly hope you can find some solutions to recover from this awful situation.",Human,1.0,0,9,8.8,8.6,8.6,8.666666666666666,77.66666666666667,9
2025-12-02 08:33:16,2025-12-02 08:38:45,0,100,329,1,2025-12-02 08:38:45,R_3KWcCzNNSDANX7r,,anonymous,EN,1,622a0d9a4f5132ad78e5f1b6,I was told my brother hadn't been heard from  in 4 weeks and his whereabouts were unknown,4,8,4,10,6,10,10,3,10,5,5,3,4,9,1,5,8,,20,87,61,,10,1947,2,,2,,"Hearing that your brother hasn't been heard from for so long and his whereabouts are unknown must be absolutely terrifying and incredibly stressful. I can only imagine the constant worry and dread you must be feeling, and my heart truly goes out to you during this incredibly difficult time. I sincerely hope you receive some news and he is found safe and sound very soon.",AI,1.0,1,4,7.6,5.2,5.4,6.066666666666667,56.0,10
2025-12-02 08:38:45,2025-12-02 08:45:34,0,100,409,1,2025-12-02 08:45:34,R_6JE1Q2hBv8NGnST,,anonymous,EN,1,62897d2024f826ea90b7efa1,"I had to go to court to get a new divorce hearing date and my almost ex was there but because I have a restraining order he was not allowed to get near me.  Never the less he came an sat down next to me. I move to a different floor of the building, he followed me.  I move again and he followed me.  I was very uncomfortable.  His lawyer showed up and they went off together. I told my lawyer about it and he said, it was not important enough to make waves about it. I disagree.",10,10,9,10,9,5,10,10,10,10,5,10,9,10,5,9,10,,95,51,96,,3,1953,1,,2,,"It sounds incredibly distressing and violating to have your ex repeatedly disregard the restraining order and follow you, making you so uncomfortable. I can totally understand why you'd feel frustrated and dismissed when your lawyer minimized such a significant boundary breach. Your feelings are absolutely valid, and you deserve to feel safe and have your concerns taken seriously.",AI,1.0,0,10,9.6,9.0,8.6,9.066666666666668,80.66666666666667,3
2025-12-02 08:52:06,2025-12-02 08:55:27,0,100,200,1,2025-12-02 08:55:27,R_5ewPUf01Av1XaRY,,anonymous,EN,1,646a74a7aadc8d532a2f34dd,,4,5,5,9,5,10,9,5,9,8,5,5,5,9,5,5,9,I had an argument with a family matter that was very heated. ,40,40,40,12,,1974,1,,2,,"It sounds incredibly frustrating and upsetting to have such a heated argument, especially when it involves family matters. I can really feel how tense and draining that experience must have been for you. I truly hope you can find some peace, and please know I'm here if you want to talk more about it.",Human,1.0,1,4,6.6,6.4,6.6,6.533333333333334,40.0,12
